route_id,service_id,start_time,end_time,headway_secs
9,S,06:00:00,08:30:00,900
9,S,08:30:00,12:00:00,1200
9,S,12:00:00,13:30:00,900
9,S,13:30:00,18:30:00,1200
9,S,18:30:00,21:30:00,900
9,S,21:30:00,22:30:00,1200
9,S,22:30:00,25:00:00,1800
9,D,01:00:00,05:00:00,7200
9,D,05:00:00,06:00:00,1200
9,D,06:00:00,08:30:00,900
9,D,08:30:00,12:00:00,1200
9,D,12:00:00,13:30:00,900
9,D,13:30:00,18:30:00,1200
9,D,18:30:00,21:30:00,900
9,D,21:30:00,22:30:00,1200
9,D,22:30:00,25:00:00,1800
10,H,05:00:00,06:00:00,1800
10,H,06:00:00,08:30:00,1200
10,H,08:30:00,12:00:00,1800
10,H,12:00:00,13:30:00,1200
10,H,13:30:00,18:30:00,1800
10,H,18:30:00,21:30:00,1200
10,H,21:30:00,22:30:00,1800
10,H,22:30:00,25:00:00,2700
10,S,05:00:00,06:00:00,1800
10,S,06:00:00,08:30:00,1200
10,S,08:30:00,12:00:00,1800
10,S,12:00:00,13:30:00,1200
10,S,13:30:00,18:30:00,1800
10,S,18:30:00,21:30:00,1200
10,S,21:30:00,22:30:00,1800
10,S,22:30:00,25:00:00,2700
10,D,05:00:00,06:00:00,1800
10,D,06:00:00,08:30:00,1200
10,D,08:30:00,12:00:00,1800
10,D,12:00:00,13:30:00,1200
10,D,13:30:00,18:30:00,1800
10,D,18:30:00,21:30:00,1200
10,D,21:30:00,22:30:00,1800
10,D,22:30:00,25:00:00,2700
11,H,01:00:00,05:00:00,3600
11,H,05:00:00,06:00:00,900
11,H,06:00:00,08:30:00,600
11,H,08:30:00,12:00:00,900
11,H,12:00:00,13:30:00,600
11,H,13:30:00,18:30:00,900
11,H,18:30:00,21:30:00,600
11,H,21:30:00,22:30:00,900
11,H,22:30:00,25:00:00,1500
11,S,01:00:00,05:00:00,3600
11,S,05:00:00,06:00:00,900
11,S,06:00:00,08:30:00,600
11,S,08:30:00,12:00:00,900
11,S,12:00:00,13:30:00,600
11,S,13:30:00,18:30:00,900
11,S,18:30:00,21:30:00,600
11,S,21:30:00,22:30:00,900
11,S,22:30:00,25:00:00,1500
11,D,01:00:00,05:00:00,3600
11,D,05:00:00,06:00:00,900
11,D,06:00:00,08:30:00,600
11,D,08:30:00,12:00:00,900
11,D,12:00:00,13:30:00,600
11,D,13:30:00,18:30:00,900
11,D,18:30:00,21:30:00,600
11,D,21:30:00,22:30:00,900
11,D,22:30:00,25:00:00,1500
12,H,05:00:00,06:00:00,1200
12,H,06:00:00,08:30:00,900
12,H,08:30:00,12:00:00,1200
12,H,12:00:00,13:30:00,900
12,H,13:30:00,18:30:00,1200
12,H,18:30:00,21:30:00,900
12,H,21:30:00,22:30:00,1200
12,H,22:30:00,25:00:00,1800
12,S,05:00:00,06:00:00,1200
12,S,06:00:00,08:30:00,900
12,S,08:30:00,12:00:00,1200
12,S,12:00:00,13:30:00,900
12,S,13:30:00,18:30:00,1200
12,S,18:30:00,21:30:00,900
12,S,21:30:00,22:30:00,1200
12,S,22:30:00,25:00:00,1800
12,D,05:00:00,06:00:00,1200
12,D,06:00:00,08:30:00,900
12,D,08:30:00,12:00:00,1200
12,D,12:00:00,13:30:00,900
12,D,13:30:00,18:30:00,1200
12,D,18:30:00,21:30:00,900
12,D,21:30:00,22:30:00,1200
12,D,22:30:00,25:00:00,1800
13,H,05:00:00,06:00:00,1200
13,H,06:00:00,08:30:00,840
13,H,08:30:00,12:00:00,1200
13,H,12:00:00,13:30:00,840
13,H,13:30:00,18:30:00,1200
13,H,18:30:00,21:30:00,840
13,H,21:30:00,22:30:00,1200
13,H,22:30:00,25:00:00,1800
13,S,05:00:00,06:00:00,1200
13,S,06:00:00,08:30:00,840
13,S,08:30:00,12:00:00,1200
13,S,12:00:00,13:30:00,840
13,S,13:30:00,18:30:00,1200
13,S,18:30:00,21:30:00,840
13,S,21:30:00,22:30:00,1200
13,S,22:30:00,25:00:00,1800
13,D,05:00:00,06:00:00,1200
13,D,06:00:00,08:30:00,840
13,D,08:30:00,12:00:00,1200
13,D,12:00:00,13:30:00,840
13,D,13:30:00,18:30:00,1200
13,D,18:30:00,21:30:00,840
13,D,21:30:00,22:30:00,1200
13,D,22:30:00,25:00:00,1800
14,H,05:00:00,06:00:00,1200
14,H,06:00:00,08:30:00,900
14,H,08:30:00,12:00:00,1200
14,H,12:00:00,13:30:00,900
14,H,13:30:00,18:30:00,1200
14,H,18:30:00,21:30:00,900
14,H,21:30:00,22:30:00,1200
14,H,22:30:00,25:00:00,2700
14,S,05:00:00,06:00:00,1200
14,S,06:00:00,08:30:00,900
14,S,08:30:00,12:00:00,1200
14,S,12:00:00,13:30:00,900
14,S,13:30:00,18:30:00,1200
14,S,18:30:00,21:30:00,900
14,S,21:30:00,22:30:00,1200
14,S,22:30:00,25:00:00,2700
14,D,05:00:00,06:00:00,1200
14,D,06:00:00,08:30:00,900
14,D,08:30:00,12:00:00,1200
14,D,12:00:00,13:30:00,900
14,D,13:30:00,18:30:00,1200
14,D,18:30:00,21:30:00,900
14,D,21:30:00,22:30:00,1200
14,D,22:30:00,25:00:00,2700
15,H,05:00:00,06:00:00,1200
15,H,06:00:00,08:30:00,840
15,H,08:30:00,12:00:00,1200
15,H,12:00:00,13:30:00,840
15,H,13:30:00,18:30:00,1200
15,H,18:30:00,21:30:00,840
15,H,21:30:00,22:30:00,1200
15,H,22:30:00,25:00:00,2700
15,S,05:00:00,06:00:00,1200
15,S,06:00:00,08:30:00,840
15,S,08:30:00,12:00:00,1200
15,S,12:00:00,13:30:00,840
15,S,13:30:00,18:30:00,1200
15,S,18:30:00,21:30:00,840
15,S,21:30:00,22:30:00,1200
15,S,22:30:00,25:00:00,2700
15,D,05:00:00,06:00:00,1200
15,D,06:00:00,08:30:00,840
15,D,08:30:00,12:00:00,1200
15,D,12:00:00,13:30:00,840
15,D,13:30:00,18:30:00,1200
15,D,18:30:00,21:30:00,840
15,D,21:30:00,22:30:00,1200
15,D,22:30:00,25:00:00,2700
16,H,05:00:00,06:00:00,1200
16,H,06:00:00,08:30:00,900
16,H,08:30:00,12:00:00,1200
16,H,12:00:00,13:30:00,900
16,H,13:30:00,18:30:00,1200
16,H,18:30:00,21:30:00,900
16,H,21:30:00,22:30:00,1200
16,H,22:30:00,25:00:00,2700
16,S,05:00:00,06:00:00,1200
16,S,06:00:00,08:30:00,900
16,S,08:30:00,12:00:00,1200
16,S,12:00:00,13:30:00,900
16,S,13:30:00,18:30:00,1200
16,S,18:30:00,21:30:00,900
16,S,21:30:00,22:30:00,1200
16,S,22:30:00,25:00:00,2700
16,D,05:00:00,06:00:00,1200
16,D,06:00:00,08:30:00,900
16,D,08:30:00,12:00:00,1200
16,D,12:00:00,13:30:00,900
16,D,13:30:00,18:30:00,1200
16,D,18:30:00,21:30:00,900
16,D,21:30:00,22:30:00,1200
16,D,22:30:00,25:00:00,2700
17,H,01:00:00,05:00:00,7200
17,H,05:00:00,06:00:00,900
17,H,06:00:00,08:30:00,720
17,H,08:30:00,12:00:00,900
17,H,12:00:00,13:30:00,720
17,H,13:30:00,18:30:00,900
17,H,18:30:00,21:30:00,720
17,H,21:30:00,22:30:00,900
17,H,22:30:00,25:00:00,1800
17,S,01:00:00,05:00:00,7200
17,S,05:00:00,06:00:00,900
17,S,06:00:00,08:30:00,720
17,S,08:30:00,12:00:00,900
17,S,12:00:00,13:30:00,720
17,S,13:30:00,18:30:00,900
17,S,18:30:00,21:30:00,720
17,S,21:30:00,22:30:00,900
17,S,22:30:00,25:00:00,1800
17,D,01:00:00,05:00:00,7200
17,D,05:00:00,06:00:00,900
17,D,06:00:00,08:30:00,720
17,D,08:30:00,12:00:00,900
17,D,12:00:00,13:30:00,720
17,D,13:30:00,18:30:00,900
17,D,18:30:00,21:30:00,720
17,D,21:30:00,22:30:00,900
17,D,22:30:00,25:00:00,1800
18,H,05:00:00,06:00:00,900
18,H,06:00:00,08:30:00,720
18,H,08:30:00,12:00:00,900
18,H,12:00:00,13:30:00,720
18,H,13:30:00,18:30:00,900
18,H,18:30:00,21:30:00,720
18,H,21:30:00,22:30:00,900
18,H,22:30:00,25:00:00,1800
18,S,05:00:00,06:00:00,900
18,S,06:00:00,08:30:00,720
18,S,08:30:00,12:00:00,900
18,S,12:00:00,13:30:00,720
18,S,13:30:00,18:30:00,900
18,S,18:30:00,21:30:00,720
18,S,21:30:00,22:30:00,900
18,S,22:30:00,25:00:00,1800
18,D,05:00:00,06:00:00,900
18,D,06:00:00,08:30:00,720
18,D,08:30:00,12:00:00,900
18,D,12:00:00,13:30:00,720
18,D,13:30:00,18:30:00,900
18,D,18:30:00,21:30:00,720
18,D,21:30:00,22:30:00,900
18,D,22:30:00,25:00:00,1800
19,H,01:00:00,05:00:00,7200
19,H,05:00:00,06:00:00,1200
19,H,06:00:00,08:30:00,900
19,H,08:30:00,12:00:00,1200
19,H,12:00:00,13:30:00,900
19,H,13:30:00,18:30:00,1200
19,H,18:30:00,21:30:00,900
19,H,21:30:00,22:30:00,1200
19,H,22:30:00,25:00:00,1800
19,S,01:00:00,05:00:00,7200
19,S,05:00:00,06:00:00,1200
19,S,06:00:00,08:30:00,900
19,S,08:30:00,12:00:00,1200
19,S,12:00:00,13:30:00,900
19,S,13:30:00,18:30:00,1200
19,S,18:30:00,21:30:00,900
19,S,21:30:00,22:30:00,1200
19,S,22:30:00,25:00:00,1800
19,D,01:00:00,05:00:00,7200
19,D,05:00:00,06:00:00,1200
19,D,06:00:00,08:30:00,900
19,D,08:30:00,12:00:00,1200
19,D,12:00:00,13:30:00,900
19,D,13:30:00,18:30:00,1200
19,D,18:30:00,21:30:00,900
19,D,21:30:00,22:30:00,1200
19,D,22:30:00,25:00:00,1800
20,H,05:00:00,06:00:00,2100
20,H,06:00:00,08:30:00,2100
20,H,08:30:00,12:00:00,2100
20,H,12:00:00,13:30:00,2100
20,H,13:30:00,18:30:00,2100
20,H,18:30:00,21:30:00,2100
20,H,21:30:00,22:30:00,2100
20,H,22:30:00,25:00:00,2700
20,S,05:00:00,06:00:00,2100
20,S,06:00:00,08:30:00,2100
20,S,08:30:00,12:00:00,2100
20,S,12:00:00,13:30:00,2100
20,S,13:30:00,18:30:00,2100
20,S,18:30:00,21:30:00,2100
20,S,21:30:00,22:30:00,2100
20,S,22:30:00,25:00:00,2700
20,D,05:00:00,06:00:00,2100
20,D,06:00:00,08:30:00,2100
20,D,08:30:00,12:00:00,2100
20,D,12:00:00,13:30:00,2100
20,D,13:30:00,18:30:00,2100
20,D,18:30:00,21:30:00,2100
20,D,21:30:00,22:30:00,2100
20,D,22:30:00,25:00:00,2700
21,H,01:00:00,05:00:00,3600
21,H,05:00:00,06:00:00,660
21,H,06:00:00,08:30:00,420
21,H,08:30:00,12:00:00,660
21,H,12:00:00,13:30:00,420
21,H,13:30:00,18:30:00,660
21,H,18:30:00,21:30:00,420
21,H,21:30:00,22:30:00,660
21,H,22:30:00,25:00:00,1200
21,S,01:00:00,05:00:00,3600
21,S,05:00:00,06:00:00,660
21,S,06:00:00,08:30:00,420
21,S,08:30:00,12:00:00,660
21,S,12:00:00,13:30:00,420
21,S,13:30:00,18:30:00,660
21,S,18:30:00,21:30:00,420
21,S,21:30:00,22:30:00,660
21,S,22:30:00,25:00:00,1200
21,D,01:00:00,05:00:00,3600
21,D,05:00:00,06:00:00,660
21,D,06:00:00,08:30:00,420
