stop_id,stop_code,stop_desc,stop_name,stop_lat,stop_lon,stop_calle,stop_numero,stop_entre,stop_esquina
8098,C8098,,Sgto. Cabral 1172,-31.4219243224,-64.1503868363,Sgto. Cabral 1172,,,Esq  Estados Unidos
8099,C8099,,Sgto. Cabral 1348,-31.423956962,-64.1507265429,Sgto. Cabral 1348,,,Esq Entre Rios
8100,C8100,,Sgto. Cabral 1632,-31.4269160937,-64.1510321336,Sgto. Cabral 1632,,,Entre Corrientes Y Junin
8101,C8101,,Sgto. Cabral 1900,-31.4306016389,-64.1515449613,Sgto. Cabral 1900,,,Esq  Goethe
8102,C8102,,Provincias Vascongadas 2154,-31.4339373137,-64.1519607382,Provincias Vascongadas 2154,,,Esq Castilla
8103,C8103,,Castilla 2281,-31.4354268866,-64.1542657509,Castilla 2281,,,Pasando San Sebastian
8104,C8104,,Castilla 1915,-31.4377730441,-64.158460071,Castilla 1915,,,Esq  Salamanca
8105,C8105,,Castilla 1759,-31.4392858157,-64.1612890762,Castilla 1759,,,Esq  Revolucion De Mayo
8106,C8106,,Huaschas 2658,-31.4412427058,-64.1606770162,Huaschas 2658,,,Esq Garcilaso De La Vega
8107,C8107,,Huaschas 2780,-31.4435062059,-64.1606787245,Huaschas 2780,,,Esq. Baradero
8108,C8108,,Baradero 2039,-31.4435804891,-64.162520194,Baradero 2039,,,Esq Guasapampa
8109,C8109,,Baradero 2291,-31.443636364,-64.1645154315,Baradero 2291,,,Esq Altautina
8110,C8110,,Baradero 2053,-31.4436908536,-64.1676480394,Baradero 2053,,,Esq. Anzenuza
8111,C8111,,Baradero 1800,-31.4436146574,-64.1695828439,Baradero 1800,,,Esq Merlo
8112,C8112,,Merlo 2946,-31.4458152933,-64.1698354896,Merlo 2946,,,Esq Chascomus
8113,C8113,,Necochea 2978,-31.4465608906,-64.1709253238,Necochea 2978,,,Esq J Diaz
8114,C8114,,Cnel. Jose Javier Diaz 1511,-31.4466573227,-64.1734122222,Cnel. Jose Javier Diaz 1511,,,Esq  H De Lerma
8115,C8115,,Cnel. Jose Javier Diaz 1300,-31.4466762056,-64.1763268672,Cnel. Jose Javier Diaz 1300,,,Entre Abreu De Figueroa Y Richieri
8116,C8116,,Av. Pablo Richieri 2921,-31.4455965241,-64.1765982108,Av. Pablo Richieri 2921,,,Esq  Pedro De Parras
8117,C8117,,Av. Pablo Richieri 2844,-31.44462378,-64.1766971959,Av. Pablo Richieri 2844,,,Esq  J. Pose
8118,C8118,,Cnel. Jose Javier Diaz 1440,-31.4467305039,-64.1750300541,Cnel. Jose Javier Diaz 1440,,,Esq  Mate De Luna
8119,C8119,,Cnel. Jose Javier Diaz 1668,-31.4467726041,-64.1712130781,Cnel. Jose Javier Diaz 1668,,,Esq  Necochea
8120,C8120,,Av. Gral. O`Higgins 2951,-31.4461817923,-64.1686620294,Av. Gral. O`Higgins 2951,,,Esq Chascomus
8121,C8121,,Baradero 2060,-31.4437777697,-64.1675935824,Baradero 2060,,,Entre Ansenusa Y Huinca Renanco
8122,C8122,,Baradero 2360,-31.4437586996,-64.164269508,Baradero 2360,,,Esq  Caminiaga
8123,C8123,,Baradero 2766,-31.4436799237,-64.1608014363,Baradero 2766,,,Entre Tosno Y Huaschas
8124,C8124,,Moron 2700,-31.4418050917,-64.1590615079,Moron 2700,,,Esq  Pergamino
8125,C8125,,Asturias 1792,-31.439965619,-64.1601993199,Asturias 1792,,,Esq  Toledo
8126,C8126,,Asturias 1890,-31.4389148829,-64.1582058215,Asturias 1890,,,Esq  Salamanca
8127,C8127,,Asturias 2056,-31.4373277262,-64.1552768436,Asturias 2056,,,Esq  Cadiz
8128,C8128,,Provincias Vascongadas 2333,-31.4349603316,-64.151847105,Provincias Vascongadas 2333,,,Esq  Castilla
8129,C8129,,Sgto. Cabral 1901,-31.4306284657,-64.1514278657,Sgto. Cabral 1901,,,Esq  Goethe
8130,C8130,,Sgto. Cabral 1473,-31.4267011003,-64.150913371,Sgto. Cabral 1473,,,Esq  Corrientes
8131,C8131,,Sgto. Cabral,-31.4249853614,-64.1506737139,Sgto. Cabral,,,Esq  Entre Rios
8132,C8132,,Sgto. Cabral 1231,-31.4223662207,-64.1503267653,Sgto. Cabral 1231,,,Esq  Estados Unidos
8133,C8133,,Sgto. Cabral 1023,-31.4202013055,-64.150060812,Sgto. Cabral 1023,,,Esq. Argandoña
8134,C8134,,Remedios De Escalada 215,-31.4148390623,-64.1523429569,Remedios De Escalada 215,,,Esq  Panama
8135,C8135,,Jose Garibaldi 056,-31.412231039,-64.1532990271,Jose Garibaldi 056,,,Esq. 25 De Mayo
8136,C8136,,Av. 24 De Septiembre 2071,-31.411118117,-64.1565533809,Av. 24 De Septiembre 2071,,,Entre Bio-Bio Y Patria
8137,C8137,,Av. Patria 282,-31.4103749079,-64.1572789649,Av. Patria 282,,,Esq. Lima (Colegio Garzon Agulla)
8138,C8138,,Av. Patria 600,-31.4063269168,-64.158798049,Av. Patria 600,,,Esq. Libertad (Hospital Cordoba)
8139,C8139,,Av. Patria 800,-31.4030108602,-64.1600287713,Av. Patria 800,,,Esq. Juan De Garay
8140,C8140,,Av. Patria,-31.3999464916,-64.1611509095,Av. Patria,,,Esq. Cochabamba
8141,C8141,,Av. Patria 1500,-31.3974090084,-64.161677373,Av. Patria 1500,,,Esq. Av. Bulnes
8142,C8142,,Av. Eduardo Bulnes 2206,-31.3962424785,-64.159743899,Av. Eduardo Bulnes 2206,,,Pasando Garibaldi
8143,C8143,,Juan  Xxiii 1200,-31.3942566031,-64.1557246179,Juan  Xxiii 1200,,,Esq  Yadarola
8144,C8144,,Juan  Xxiii 1420,-31.3919463693,-64.1537654837,Juan  Xxiii 1420,,,Esq  Santiso Y Moscoso
8145,C8145,,Juan  Xxiii 1590,-31.3909764704,-64.1529253733,Juan  Xxiii 1590,,,Esq  Puerto De Palos
8146,C8146,,Juan  Xxiii 1796,-31.3893660593,-64.1514866956,Juan  Xxiii 1796,,,Esq  Tarija
8147,C8147,,Tarija 2063,-31.3879573952,-64.1530159216,Tarija 2063,,,Esq  Chavisacate
8148,C8148,,Tarija 1749,-31.386471943,-64.1552988263,Tarija 1749,,,Esq  Pinagasta
8149,C8149,,Locallino 1686,-31.3845687969,-64.1573825288,Locallino 1686,,,Esq  Frankfort
8150,C8150,,Nuevo Mundo 1153,-31.3835225085,-64.1606243239,Nuevo Mundo 1153,,,Entre Veracruz Y Tegucigalpa
8151,C8151,,Recalde 1740,-31.3796842092,-64.1688925965,Recalde 1740,,,Esq  Capdevila
